City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,Yellowknife,62.456,-114.3525,37.42,99,75,3.0,CA,2021-09-26 16:21:36
134,Poum,-20.2333,164.0167,71.28,71,90,5.93,NC,2021-09-26 16:21:36
135,Kidal,18.4411,1.4078,102.06,7,1,16.89,ML,2021-09-26 16:21:37
136,San Quintin,30.4833,-115.95,67.93,75,100,6.08,MX,2021-09-26 16:21:37
137,Vestmanna,62.1564,-7.1664,50.92,100,90,18.41,FO,2021-09-26 16:21:37
138,Kaeo,-35.1,173.7833,53.33,91,96,4.36,NZ,2021-09-26 16:21:38
139,Pratapgarh,24.0333,74.7833,76.89,85,97,3.22,IN,2021-09-26 16:21:38
140,Arraial Do Cabo,-22.9661,-42.0278,82.36,65,0,18.41,BR,2021-09-26 16:21:39
141,Byron Bay,-28.65,153.6167,58.95,72,98,13.73,AU,2021-09-26 16:20:33
142,Te Anau,-45.4167,167.7167,31.03,92,28,1.5,NZ,2021-09-26 16:21:39
143,Alugan,12.2188,125.4808,78.13,89,63,4.03,PH,2021-09-26 16:21:39
144,Changli,39.7042,119.1506,64.56,96,100,2.75,CN,2021-09-26 16:21:40
145,Tabuk,17.4189,121.4443,74.93,90,38,3.71,PH,2021-09-26 16:21:40
146,Syracuse,37.0881,15.2792,80.65,72,100,13.27,IT,2021-09-26 16:21:40
147,Kapaa,22.0752,-159.319,77.32,84,90,4.0,US,2021-09-26 16:21:41
148,Leshukonskoye,64.8989,45.7622,45.27,98,100,3.67,RU,2021-09-26 16:21:41
149,Bubaque,11.2833,-15.8333,83.61,72,92,7.78,GW,2021-09-26 16:21:42
150,Lampa,-33.2833,-70.9,71.96,42,0,4.61,CL,2021-09-26 16:21:42
151,Los Llanos De Aridane,28.6585,-17.9182,73.15,81,75,6.91,ES,2021-09-26 16:21:42
152,Port Elizabeth,-33.918,25.5701,65.1,82,75,6.91,ZA,2021-09-26 16:21:43
153,Santa Vitoria Do Palmar,-33.5189,-53.3681,68.77,62,5,1.1,BR,2021-09-26 16:21:43
154,Pithora,21.2667,82.5167,76.14,92,100,5.97,IN,2021-09-26 16:21:44
155,Kruisfontein,-34.0033,24.7314,62.89,80,53,11.21,ZA,2021-09-26 16:21:44
156,La Ronge,55.1001,-105.2842,53.85,71,75,3.44,CA,2021-09-26 16:21:44
157,Haines Junction,60.7522,-137.5108,28.35,86,100,2.3,CA,2021-09-26 16:21:44
158,Bereda,43.2686,-7.5406,69.42,69,100,6.71,ES,2021-09-26 16:21:45
159,Kodinsk,58.6881,99.1844,36.52,98,100,3.8,RU,2021-09-26 16:21:46
160,Abu Samrah,35.3029,37.1841,78.93,22,0,6.89,SY,2021-09-26 16:21:47
