,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
265,Yantal,RU,34.2,light rain,56.8471,105.2542,
266,Srednekolymsk,RU,33.03,light snow,67.45,153.6833,
267,Zyrardow,PL,62.01,scattered clouds,52.0488,20.446,
268,Bijie,CN,61.74,clear sky,27.3125,105.2942,
269,Vestmanna,FO,49.12,overcast clouds,62.1564,-7.1664,
270,Pisco,PE,65.01,broken clouds,-13.7,-76.2167,
271,Muroto,JP,72.81,overcast clouds,33.2833,134.15,
272,North Bend,US,64.17,overcast clouds,43.4065,-124.2243,
273,Alice Springs,AU,65.75,clear sky,-23.7,133.8833,
274,Macas,EC,81.68,light rain,-2.3167,-78.1167,
275,Tifton,US,85.41,clear sky,31.4505,-83.5085,
276,Lensk,RU,34.5,light rain,60.7253,114.9278,
277,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,
278,Lompoc,US,61.92,overcast clouds,34.6391,-120.4579,
279,Leh,IN,56.73,clear sky,34.1667,77.5833,
280,Cherskiy,RU,32.34,snow,68.75,161.3,
281,Macheng,CN,73.02,light rain,31.1783,115.0319,
282,Mayskiy,RU,62.44,broken clouds,47.6931,40.1025,
283,Tekanto,MX,92.01,broken clouds,21.0167,-89.1,
284,Thinadhoo,MV,81.59,overcast clouds,0.5333,72.9333,
285,Daru,PG,77.41,overcast clouds,-9.0763,143.2092,
286,Husavik,IS,40.91,light rain,66.0449,-17.3389,
287,Tevaitoa,PF,79.12,light rain,-16.7833,-151.5,
288,Fiumicino,IT,78.98,scattered clouds,41.7675,12.2291,
289,Beamsville,CA,71.31,scattered clouds,43.1668,-79.4829,
290,Uyaan,PH,62.91,overcast clouds,7.8631,124.0411,
291,Codrington,AU,40.93,broken clouds,-38.2667,141.9667,
292,Anadyr,RU,33.75,scattered clouds,64.75,177.4833,
293,Nanortalik,GL,39.58,few clouds,60.1432,-45.2371,
294,Andenes,NO,55.38,overcast clouds,69.3143,16.1194,
295,Namwala,ZM,79.52,clear sky,-15.7504,26.4384,
296,Dutlwe,BW,78.89,clear sky,-23.9833,23.9,
297,Westport,US,74.25,few clouds,41.1415,-73.3579,
298,Iranshahr,IR,88.38,few clouds,27.2025,60.6848,
299,Solnechnyy,RU,48.69,overcast clouds,50.7214,136.6319,
300,Bar Harbor,US,68.14,broken clouds,44.3876,-68.2039,
301,Asau,RO,62.4,clear sky,46.4333,26.4,
302,Sungaipenuh,ID,65.79,light rain,-2.0833,101.3833,
303,Rehti,IN,76.33,overcast clouds,22.7333,77.4333,
304,Ballina,AU,58.96,overcast clouds,-28.8667,153.5667,
305,Hay River,CA,43.81,broken clouds,60.8156,-115.7999,
306,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.589,
307,Gornopravdinsk,RU,30.69,scattered clouds,60.05,69.9,
309,Dzilam Gonzalez,MX,92.64,scattered clouds,21.2833,-88.9333,
310,Calvinia,ZA,69.8,clear sky,-31.4707,19.776,
311,Te Anau,NZ,30.36,few clouds,-45.4167,167.7167,
312,Bilibino,RU,25.99,light snow,68.0546,166.4372,
313,Pskov,RU,49.91,broken clouds,57.8136,28.3496,
314,Benghazi,LY,76.48,clear sky,32.1167,20.0667,
315,Moranbah,AU,59.41,clear sky,-22.0016,148.0466,
316,Carmo Do Rio Claro,BR,85.01,broken clouds,-20.9719,-46.1189,
317,Nome,US,34.16,overcast clouds,64.5011,-165.4064,
318,Cabo San Lucas,MX,94.6,few clouds,22.8909,-109.9124,
319,Wattegama,LK,78.62,overcast clouds,6.7989,81.4808,
320,Juegang,CN,76.98,scattered clouds,32.3174,121.1855,
321,Cassia,BR,81.23,broken clouds,-20.5831,-46.9219,
322,Huarmey,PE,69.37,broken clouds,-10.0681,-78.1522,
323,Luba,GQ,78.62,overcast clouds,3.4568,8.5547,
324,Kathu,TH,75.02,overcast clouds,7.9178,98.3332,
325,Atambua,ID,71.2,broken clouds,-9.1061,124.8925,
326,Kibala,TD,76.35,light rain,9.1104,18.3463,
327,Biscarrosse,FR,70.75,clear sky,44.3945,-1.1672,
328,Pangnirtung,CA,36.18,few clouds,66.1451,-65.7125,
329,Svetlogorsk,BY,47.86,clear sky,52.6333,29.7333,
330,Faanui,PF,79.3,light rain,-16.4833,-151.75,
331,Sao Gabriel Da Cachoeira,BR,88.43,overcast clouds,-0.1303,-67.0892,
332,Mogadishu,SO,78.19,clear sky,2.0371,45.3438,
333,Meulaboh,ID,73.98,overcast clouds,4.1363,96.1285,
335,Porto Santo,PT,75.31,few clouds,33.072,-16.3415,
336,Birakan,RU,45.1,overcast clouds,49.0167,131.7,
337,Belmonte,BR,79.3,broken clouds,-15.8631,-38.8828,
338,Los Llanos De Aridane,ES,73.15,volcanic ash,28.6585,-17.9182,
339,Baherden,TM,65.7,broken clouds,38.4362,57.4316,
340,Orlik,RU,33.21,overcast clouds,52.5178,99.825,
341,Ismailia,EG,75.04,scattered clouds,30.6043,32.2723,
342,Vao,NC,67.69,overcast clouds,-22.6667,167.4833,
343,Maunabo,PR,94.64,few clouds,18.0072,-65.8993,
344,Aliwal North,ZA,71.56,scattered clouds,-30.6937,26.7114,
345,Asfi,MA,73.24,broken clouds,32.2994,-9.2372,
346,Buchanan,LR,82.36,moderate rain,5.8808,-10.0467,
347,Dingle,PH,76.08,broken clouds,10.9995,122.6711,
348,Christchurch,NZ,40.03,overcast clouds,-43.5333,172.6333,
349,Port Hedland,AU,64.45,clear sky,-20.3167,118.5667,
350,Sangar,RU,32.95,broken clouds,63.9242,127.4739,
351,Cedar City,US,75.4,clear sky,37.6775,-113.0619,
352,Miraflores,MX,70.03,broken clouds,19.2167,-98.8083,
353,Vihti,FI,51.35,few clouds,60.417,24.3197,
354,Tambun,ID,83.48,broken clouds,-6.2641,107.0712,
